,AnnualizedCapitalCost_k$/MWyear,AnnualizedCapitalCost_k$/MWhyear,FixedOMCost_k$/MWyear,VariableOMCost_$/MWh,VariableFuelCost_$/MWh,StartUpCost$/Mwstart,MW_existing,MW_maximum,MWh_max_WinterJanFeb,MWh_max_Spring,MWh_max_Summer,MWh_max_Fall,MWh_max_WinterNovDec,CAPEX_DollarsPerkW,CAPEX_DollarsPerkWh
AnnualStorage,94.39292574,9.439292574,,,,,,,,,,,,1000,100
DailyStorage,,,,,,,,,,,,,,1000,100
