"","Solar","Nuclear","Hydro","Wind","Geothermal","Natural_Gas","Coal","Biomass","Petroleum","Import_Net","Solar_Plant","Nuclear_Plant","Hydro_Plant","Wind_Plant","Geothermal_Plant","Natural_Gas_Plant","Coal_Plant","Biomass_Plant","Petroleum_Plant","Electricity_Grid","Resident_SpaceHeating_NG","Resident_SpaceHeating_Elec","Resident_WaterHeating_NG","Resident_WaterHeating_Elec","Resident_Cooking_NG","Resident_Cooking_Elec","Resident_Other","Commerce_SpaceHeating_NG","Commerce_SpaceHeating_Elec","Commerce_WaterHeating_NG","Commerce_WaterHeating_Elec","Commerce_Cooking_NG","Commerce_Cooking_Elec","Commerce_Other","Industrial","Transport_LDV_Petrol","Transport_LDV_Elec","Transport_LDV_Ethanol","Transport_Other_Petrol","Transport_Other_NG","Transport_Other_Other"
"Solar_Flow",0,0,0,0,0,0,0,0,0,0,47274611731732.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.891e+12,0,0,0,0,0,0,9e+10,0,0,0,0,0,0,0
"Nuclear_Flow",0,0,0,0,0,0,0,0,0,0,0,756014579634238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydro_Flow",0,0,0,0,0,0,0,0,0,0,0,0,36587820724952.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wind_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geothermal_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.745e+12,0,0,0,0,0,0,8.52e+11,5.4e+10,0,0,0,0,0,0
"NaturalGas_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395284697960170,0,0,0,0,38971872401470.6,0,20160731947717.8,0,2181932024348.14,0,0,52182757141183.5,0,23003232310103.6,0,17087317300620.7,0,0,1836980862164198,0,0,0,0,123969742690058,0
"Coal_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817345017728043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9188437500000,0,0,0,0,0,0
"Biomass_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.736e+12,0,0,0,0,0,0,1.008e+12,220487090909091,0,0,30660029508918.7,0,0,0
"Petroleum_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21598052059204.9,0,0,0,0,0,0,0,4283142857142.85,0,0,0,0,0,0,17568227848101.3,1871211051077586,415714171990311,0,0,466474168022903,0,0
"Solar_Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20526315789473.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
